stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
46,,RAVIDAS GATE,,25.281901,83.003148,,,,
47,,LANKA,,25.27794,83.002496,,,,
48,,NATINIYA DAI,,25.371781,82.971898,,,,
49,,LALPUR   T.F.C.,,25.382641,82.970325,,,,
50,,CHANDMARI,,25.38712,82.97007,,,,
51,,BELWARIYA,,25.4025,82.968196,,,,
52,,MURDAHA,,25.41897,82.964414,,,,
53,,AYAR,,25.438934,82.962277,,,,
54,,AHIRAULI,,25.449881,82.958754,,,,
55,,GOSAIPUR,,25.459545,82.954779,,,,
56,,PALAHI PATTI,,25.475932,82.947134,,,,
57,,GARTHAMA,,25.484003,82.942105,,,,
58,,SARAIYA,,25.507592,82.938385,,,,
59,,MARUEE,,25.520773,82.93347,,,,
60,,SINDHORA,,25.533394,82.931607,,,,
61,,CHAUKAGHAT,,25.333562,82.996338,,,,
62,,KHAJURI,,25.343457,82.988704,,,,
63,,POLICE LINE,,25.345785,82.984015,,,,
64,,PANDEYPUR,,25.349608,82.99338,,,,
65,,LALPUR,,25.359222,82.992919,,,,
66,,BELWABABA,,25.378169,82.994193,,,,
67,,BANIYAPUR,,25.386564,82.996331,,,,
68,,MAHAVIR,,25.40311,82.99831,,,,
69,,ALLOPUR,,25.419279,83.000236,,,,
70,,CHAMRAHA,,25.431596,83.002056,,,,
71,,GOSHIPUR,,25.442326,82.99997,,,,
72,,MOHAV,,25.457653,83.001434,,,,
73,,CHOLAPUR,,25.473812,83.001464,,,,
74,,DHARSAUNA,,25.489102,82.998801,,,,
75,,KATARI,,25.497829,82.997216,,,,
76,,BALRAMGANJ,,25.519567,82.997938,,,,
77,,DANGANJ,,25.548014,83.003782,,,,
78,,PAHARIYA,,25.356487,83.005602,,,,
79,,PURANA RTO,,25.359351,83.017771,,,,
80,,ASHAPUR,,25.360576,83.023306,,,,
81,,LEDHUPUR,,25.369426,83.046128,,,,
82,,CHIRAIGAON BLOCK,,25.380311,83.055474,,,,
83,,UMARAHA,,25.389908,83.065974,,,,
84,,SWARVED MANDIR,,25.401574,83.071623,,,,
85,,DUBKIYA,,25.414124,83.078017,,,,
86,,SAHAPUR,,25.428298,83.087744,,,,
87,,CHUBEYPUR,,25.445294,83.097036,,,,
88,,UGAPUR,,25.461347,83.114311,,,,
89,,CHANDRAWATI,,25.468449,83.125812,,,,
90,,DHAKHAWA,,25.480111,83.138839,,,,
91,,KAITHI,,25.492536,83.159742,,,,
92,,MARKANDEY MAHADEV,,25.501533,83.162245,,,,
93,,ASAPUR,,25.360452,83.023231,,,,
94,,AHSAPUR,,25.361263,83.025708,,,,
95,,HAVELIYA CHAURAHA,,25.369041,83.025433,,,,
96,,SARNATH MUSEAM,,25.371595,83.025259,,,,
97,,SARNATH RLY,,25.376479,83.032093,,,,
98,,KARNADADI,,25.269038,82.893159,,,,
99,,HERITAGE INSTITUTE,,25.261273,82.909104,,,,
100,,SMS,,25.254607,82.919924,,,,
101,,DPS,,25.249628,82.940724,,,,
102,,AKHARI,,25.248675,82.953645,,,,
103,,AWALESHPUR,,25.256474,82.960388,,,,
104,,KANDWA,,25.260747,82.963517,,,,
105,,CHITAIPUR,,25.270659,82.967211,,,,
