"","R.N","FROM","TO","prs","revenue"
"1","107","ASAPUR","CANTT RLY STATION",10,220
"2","107","ASAPUR","DURGA KUND",1,27
"3","107","ASAPUR","KHAJURI",1,17
"4","107","ASAPUR","LANKA",14,462
"5","107","ASAPUR","SIGRA",2,44
"6","107","BHELUPUR","CANTT RLY STATION",2,34
"7","107","BHELUPUR","LANKA",1,17
"8","107","CANTT RLY STATION","DURGA KUND",1,17
"9","107","CANTT RLY STATION","LANKA",7,154
"10","107","CANTT RLY STATION","SARNATH MUSEAM",1,22
"11","107","CANTT RLY
STATION","DURGA KUND",5,85
"12","107","CANTT RLY
STATION","LANKA",35,770
"13","107","CANTT RLY
STATION","PAHARIYA",1,17
"14","107","CANTT RLY
STATION","SARNATH MUSEAM",7,154
"15","107","DURGA KUND","ASAPUR",1,27
"16","107","DURGA KUND","CANTT RLY STATION",3,51
"17","107","DURGA KUND","RATHYATRA",1,12
"18","107","LANKA","ASAPUR",2,66
"19","107","LANKA","CANTT RLY STATION",75,1650
"20","107","LANKA","CHAUKAGHAT",2,44
"21","107","LANKA","KHAJURI",6,132
"22","107","LANKA","PAHARIYA",10,270
"23","107","LANKA","POLICE LINE",1,27
"24","107","LANKA","SARNATH MUSEAM",16,528
"25","107","LANKA","SARNATH RLY",6,198
"26","107","LANKA","SIGRA",16,272
"27","107","PAHARIYA","CANTT RLY STATION",3,51
"28","107","PAHARIYA","KHAJURI",1,12
"29","107","PAHARIYA","LANKA",4,108
"30","107","PANDEYPUR","BHELUPUR",1,22
"31","107","PANDEYPUR","DURGA KUND",1,22
"32","107","PANDEYPUR","LANKA",8,216
"33","107","PANDEYPUR","SARNATH MUSEAM",1,17
"34","107","PANDEYPUR","SIGRA",2,34
"35","107","POLICE LINE","DURGA KUND",1,22
"36","107","POLICE LINE","LANKA",2,54
"37","107","PURANA RTO","LANKA",1,33
"38","107","PURANA RTO","RATHYATRA",1,22
"39","107","PURANA RTO","RAVIDAS GATE",1,27
"40","107","RATHYATRA","LANKA",2,34
"41","107","RATHYATRA","SARNATH MUSEAM",1,27
"42","107","RAVINDERPURI","CANTT RLY STATION",2,34
"43","107","SARNATH MUSEAM","BHELUPUR",1,27
"44","107","SARNATH MUSEAM","CANTT RLY STATION",25,550
"45","107","SARNATH MUSEAM","LANKA",5,165
"46","107","SARNATH MUSEAM","PANDEYPUR",1,17
"47","107","SARNATH MUSEAM","POLICE LINE",1,22
"48","107","SARNATH
MUSEAM","CANTT RLY STATION",8,176
"49","107","SARNATH
MUSEAM","LANKA",11,363
"50","107","SIGRA","LANKA",2,34
"51","107","VIDYAPEETH","LANKA",1,22
"52","107(B)2","BHELUPUR","CANTT RLY STATION",3,51
"53","107(B)2","BHULLANPUR","CANTT RLY STATION",2,44
"54","107(B)2","BHULLANPUR","MIRZAMURAD
BAZAR",4,132
"55","107(B)2","BOULIA","BHULLANPUR",1,17
"56","107(B)2","BOULIA","MIRZAMURAD BAZAR",1,38
"57","107(B)2","BOULIA","SADHU KI KUTIYA",2,66
"58","107(B)2","CANTT RLY STATION","DURGA KUND",2,34
"59","107(B)2","CANTT RLY STATION","JAGATPUR",6,132
"60","107(B)2","CANTT RLY STATION","KIT",1,38
"61","107(B)2","CANTT RLY STATION","LANKA",9,198
"62","107(B)2","CANTT RLY STATION","MIRZAMURAD BAZAR",10,430
"63","107(B)2","CANTT RLY STATION","MOHANSARAI",6,162
"64","107(B)2","CANTT RLY STATION","RAJATALAB",15,495
"65","107(B)2","CANTT RLY
STATION","DURGA KUND",6,102
"66","107(B)2","CANTT RLY
STATION","JAGATPUR",10,220
