"","R.N","FROM","TO","prs","revenue"
"1","107","ASAPUR","CANTT RLY STATION",14,308
"2","107","ASAPUR","DURGA KUND",1,27
"3","107","ASAPUR","LANKA",5,165
"4","107","ASAPUR","PANDEYPUR",1,17
"5","107","ASAPUR","POLICE LINE",1,17
"6","107","ASAPUR","RAVINDERPURI",2,54
"7","107","ASAPUR","SIGRA",3,66
"8","107","CANTT RLY STATION","ASAPUR",3,66
"9","107","CANTT RLY STATION","DURGA KUND",13,221
"10","107","CANTT RLY STATION","KHAJURI",1,12
"11","107","CANTT RLY STATION","LANKA",26,572
"12","107","CANTT RLY STATION","PAHARIYA",2,34
"13","107","CANTT RLY STATION","RATHYATRA",1,12
"14","107","CANTT RLY STATION","SARNATH MUSEAM",14,308
"15","107","CANTT RLY
STATION","ASAPUR",7,154
"16","107","CANTT RLY
STATION","BHELUPUR",1,17
"17","107","CANTT RLY
STATION","DURGA KUND",3,51
"18","107","CANTT RLY
STATION","LANKA",18,396
"19","107","CANTT RLY
STATION","SARNATH MUSEAM",9,198
"20","107","CHAUKAGHAT","ASAPUR",1,22
"21","107","DURGA KUND","CANTT RLY STATION",5,85
"22","107","HAVELIYA CHAURAHA","PANDEYPUR",2,34
"23","107","KHAJURI","BHELUPUR",1,17
"24","107","KHAJURI","LANKA",1,22
"25","107","KHAJURI","SARNATH MUSEAM",1,22
"26","107","LANKA","ASAPUR",3,99
"27","107","LANKA","CANTT RLY STATION",56,1232
"28","107","LANKA","KHAJURI",3,66
"29","107","LANKA","PAHARIYA",3,81
"30","107","LANKA","PANDEYPUR",6,162
"31","107","LANKA","RATHYATRA",3,51
"32","107","LANKA","SARNATH MUSEAM",14,462
"33","107","LANKA","SIGRA",4,68
"34","107","PAHARIYA","CANTT RLY STATION",5,85
"35","107","PAHARIYA","LANKA",2,54
"36","107","PAHARIYA","RAVINDERPURI",2,44
"37","107","PAHARIYA","SIGRA",2,44
"38","107","PANDEYPUR","ASAPUR",1,17
"39","107","PANDEYPUR","CANTT RLY STATION",3,51
"40","107","PANDEYPUR","DURGA KUND",2,44
